invoiceDate,amount
2021-10-05,370750.79
2021-10-06,509841.81
2021-10-07,479248.85
2021-10-08,710577.85
2021-10-09,240667.27
2021-10-11,190129.04
2021-10-12,209813.23
2021-10-13,684584.65
2021-10-14,254190.52
2021-10-15,235100.86000000002
2021-10-16,412440.66
2021-10-18,423284.6
2021-10-19,292024.6
2021-10-20,345279.24
2021-10-21,153343.66
2021-10-22,473163.62
2021-10-23,535594.07
2021-10-25,443879.84
2021-10-26,693791.6
2021-10-27,863459.88
2021-10-28,522441.9
2021-10-29,518608.39
2021-10-30,479256.93
2021-11-01,178630.7
2021-11-02,76842.16
2021-11-09,333424.27
2021-11-10,787363.61
2021-11-11,654962.78
2021-11-12,293640.35
2021-11-13,310075.34
2021-11-15,56578.92
2021-11-16,669155.39
2021-11-17,359136.6
2021-11-18,151800.63
2021-11-19,112732.77
2021-11-20,175237.19
2021-11-22,448279.83
2021-11-23,90557.0
2021-11-24,693177.05
2021-11-25,802592.35
2021-11-26,164042.4
2021-11-27,325657.01
2021-11-29,202621.9
2021-11-30,399279.3
2021-12-01,465346.9
2021-12-02,356887.19
2021-12-03,318880.21
2021-12-04,230685.34
2021-12-06,187262.2
2021-12-07,224265.12
2021-12-08,142405.61
2021-12-09,155891.87
2021-12-10,312272.74
2021-12-11,133081.71
2021-12-13,162609.55
2021-12-14,301643.12
2021-12-15,512164.72
2021-12-16,442138.93
2021-12-17,486763.94
2021-12-18,179564.72
2021-12-20,457542.79
2021-12-21,424176.72
2021-12-22,122202.09
2021-12-23,293373.46
2021-12-24,140026.65
2021-12-25,516523.18
2021-12-27,578142.13
2021-12-28,407832.22000000003
2021-12-29,285381.34
2021-12-30,363348.5
2021-12-31,80245.14
2022-01-01,678530.45
2022-01-03,442311.71
2022-01-04,624305.45
2022-01-05,215820.47
2022-01-06,219781.36000000002
2022-01-07,420690.94
2022-01-08,681206.98
2022-01-10,243273.99
2022-01-11,248689.55
2022-01-12,127318.62
2022-01-13,705847.73
2022-01-15,523023.58
2022-01-17,571893.17
2022-01-18,388339.01
2022-01-19,273945.43
2022-01-20,583209.66
2022-01-21,218304.35
2022-01-22,116255.54
2022-01-24,633345.12
2022-01-25,383483.98
2022-01-26,126623.37
2022-01-27,398035.49
2022-01-28,195802.53
2022-01-29,836888.03
2022-01-31,184556.81
2022-02-01,372971.52
2022-02-02,292539.57
2022-02-03,233907.52
2022-02-04,232285.84
2022-02-05,64839.200000000004
2022-02-07,336091.03
2022-02-08,101887.94
2022-02-09,236833.77
2022-02-10,138572.77
2022-02-11,210346.09
2022-02-12,378703.64
2022-02-14,321233.14
2022-02-15,218835.30000000002
2022-02-16,519136.02
2022-02-17,194441.25
2022-02-18,103072.95
2022-02-19,552248.58
2022-02-21,281940.04
2022-02-22,473811.55
2022-02-23,244436.5
2022-02-24,166188.25
2022-02-25,200711.34
2022-02-26,530749.36
2022-02-28,102535.25
2022-03-01,432543.48
2022-03-02,251044.3
2022-03-03,137445.9
2022-03-04,197388.95
2022-03-05,339459.66
2022-03-07,250311.71
2022-03-08,345398.57
2022-03-09,291403.77
2022-03-10,380872.71
2022-03-11,152362.88
2022-03-12,776445.7
2022-03-14,620057.64
2022-03-15,147708.28
2022-03-16,161101.92
2022-03-17,69088.55
2022-03-19,131258.98
2022-03-21,823628.02
2022-03-22,640396.92
2022-03-23,350407.96
2022-03-24,118411.8
2022-03-25,39092.979999999996
2022-03-26,254145.93
2022-03-28,314768.02
2022-03-29,85626.31
2022-03-30,24486.65
2022-03-31,114916.92
2022-04-01,459543.88
2022-04-02,1660443.91
2022-04-04,521508.82
2022-04-05,523886.62
2022-04-06,240823.03
2022-04-07,162683.36
2022-04-08,272748.35
2022-04-09,1173289.44
2022-04-11,146810.29
2022-04-12,397235.46
2022-04-13,163047.73
2022-04-14,508840.98
2022-04-15,278458.64
2022-04-16,287662.07
2022-04-18,174649.93
2022-04-19,308112.96
2022-04-20,516271.28
2022-04-21,229216.4
2022-04-22,112197.36
2022-04-23,1129991.01
2022-04-24,35002.35
2022-04-25,206552.94999999998
2022-04-26,463839.4
2022-04-27,322304.17
2022-04-28,312161.42
2022-04-29,132305.07
2022-04-30,230167.29
2022-05-02,292417.21
2022-05-03,221949.91999999998
2022-05-04,99661.78
2022-05-05,677530.8
2022-05-06,177397.1
2022-05-07,341931.16
2022-05-09,541509.63
2022-05-10,217741.34
2022-05-11,140553.64
2022-05-12,184454.36
2022-05-13,103339.23
2022-05-14,418880.74
2022-05-16,383054.92
2022-05-17,439553.25
2022-05-18,496826.01
2022-05-19,163514.63
2022-05-20,469091.61
