InvoiceWeek,amount
1,408.36
1,1562.1
1,1527.3
1,1157.2
1,0.0
1,2893.0
1,2471.1
1,2082.8
1,1041.4
1,17356.5
1,2661.4
1,1414.5
1,2227.5
1,2416.3
1,925.8
1,1735.6
1,0.0
1,891.0
1,17356.5
1,5786.0
1,52.08
1,1357.8
1,1510.25
1,7138.8
1,2471.1
1,509.1
1,5207.0
1,1800.0
1,0.0
1,37605.0
1,488.1
1,900.0
1,5785.5
1,2169.6
1,3240.3
1,4243.0
1,1812.3
1,6808.5
1,936.0
1,4178.5
1,0.0
1,3819.0
1,5264.7
1,2893.5
1,0.0
1,1157.2
1,857.1
1,2314.2
1,0.0
1,2603.7
1,1041.4
1,445.5
1,810.0
1,1928.7
1,0.0
1,3471.5
1,0.0
1,2025.0
1,2314.2
1,5091.0
1,8678.5
1,2893.0
1,5346.0
1,1909.5
1,3954.0
1,2269.5
1,4945.0
1,19768.8
1,1735.5
1,1851.4
1,2376.0
1,14498.0
1,2672.6
1,3857.0
1,520.7
1,9257.0
1,1562.1
1,6364.5
1,1909.2
1,52071.0
1,12857.0
1,2025.0
1,381.9
1,4628.4
1,1157.2
1,1851.36
1,0.0
1,34713.0
1,867.9
1,4942.5
1,5322.8
1,3760.5
1,2269.5
1,5207.0
1,10182.0
1,6364.0
1,5091.0
1,29655.0
1,1388.7
1,3819.0
1,14465.0
1,38570.0
1,3818.0
1,24067.68
1,810.0
1,23142.0
1,12082.0
1,4539.0
1,3760.5
1,11571.0
1,11571.0
1,1208.1
1,12729.0
1,3471.5
1,2025.0
1,763.8
1,19095.0
1,1909.5
1,578.6
1,1909.2
1,5207.1
1,1735.5
1,868.0
1,8100.0
1,2893.0
1,15042.0
1,20828.0
1,2546.0
1,1317.95
1,2025.0
1,4629.0
1,6864.5
1,1977.0
1,6879.0
1,4628.5
1,12728.5
1,17357.0
1,8910.0
1,1735.65
1,925.8
1,2603.5
1,2777.2
1,3640.89
1,8679.0
1,954.5
1,520.8
1,1735.5
1,954.6
1,6393.0
1,1735.5
1,925.8
1,8948.0
1,8679.0
1,3295.0
1,9884.4
1,2314.5
1,2546.0
1,4050.0
2,1414.3
2,2828.5
2,2603.5
2,4127.4
2,642.8
2,848.6
2,3020.5
2,1375.2
2,2471.1
2,1735.8
2,1157.1
2,447.4
2,1208.2
2,1157.2
2,8678.5
2,3124.2
2,636.4
2,7637.1
2,6364.5
2,1018.2
2,1736.0
2,462.9
2,8019.0
2,642.9
2,1442.4
2,642.9
2,1215.0
2,424.2
2,763.8
2,3294.8
2,2082.9
2,771.4
2,2063.7
2,3471.3
2,2169.6
2,2256.3
2,2141.7
2,2314.2
2,4118.7
2,9885.0
2,4942.5
2,2290.8
2,4009.32
2,3624.6
2,5091.0
2,12729.0
2,4942.5
2,678.9
2,578.6
2,1208.1
2,4942.5
2,2777.4
2,1562.1
2,810.0
2,925.8
2,6508.8
2,2083.0
